Region,Segment,Sub-segment,Sub-segment 1,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Global,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,97.89,102.04,106.41,111.06,116.03,121.42,127.27,133.60,140.30,147.39,154.79,162.45,170.33
Global,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,239.63,254.37,270.25,287.34,305.80,325.95,348.09,372.38,398.68,426.85,456.65,488.02,521.00
Global,By Equipment Type,Storage Equipment,Silos,83.93,87.66,91.61,95.78,100.18,104.85,109.90,115.38,121.25,127.51,134.08,140.90,147.94
Global,By Equipment Type,Storage Equipment,Storage bins and hoppers,52.32,54.96,57.74,60.73,63.96,67.47,71.30,75.44,79.84,84.52,89.46,94.65,100.04
Global,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,215.52,227.06,239.11,251.94,265.76,280.87,297.48,315.50,334.64,354.98,376.53,399.26,423.06
Global,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes",111.33,116.27,121.58,127.31,133.46,140.08,147.20,154.86,163.01,171.68,180.78,190.18,199.87
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,250.81,263.00,276.02,289.93,304.72,320.62,337.82,356.54,376.70,398.19,420.88,444.47,468.88
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,150.40,159.18,168.63,178.69,189.30,200.64,212.89,226.35,241.06,256.90,273.81,291.60,310.22
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,181.08,192.53,204.48,217.19,230.99,246.21,263.10,281.54,301.22,322.24,344.74,368.84,394.41
Global,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,106.38,110.80,115.53,120.58,125.94,131.68,137.88,144.60,151.76,159.36,167.24,175.30,183.57
Global,By Equipment Type,Sorting and Grading Equipment,Optical sorters,208.10,226.81,247.49,270.24,295.14,322.60,353.00,386.85,424.45,465.82,511.19,560.56,614.11
Global,By Equipment Type,Sorting and Grading Equipment,Size graders,114.99,120.97,127.33,134.03,141.07,148.55,156.64,165.48,175.10,185.43,196.43,207.97,219.97
Global,By Equipment Type,Sorting and Grading Equipment,Weight graders,107.48,113.77,120.48,127.65,135.27,143.43,152.25,161.84,172.22,183.43,195.48,208.23,221.64
Global,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,71.95,75.29,78.88,82.74,86.85,91.26,96.02,101.18,106.74,112.66,118.86,125.27,131.89
Global,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,234.67,250.34,267.30,285.61,305.17,326.20,348.98,373.82,400.82,430.14,461.67,495.17,530.68
Global,By Equipment Type,Thermal Processing Equipment,Roasting systems,110.32,118.76,127.99,138.09,149.06,160.93,173.85,188.00,203.53,220.62,239.30,259.44,281.02
Global,By Equipment Type,Thermal Processing Equipment,Cooling and tempering systems,87.13,92.21,97.63,103.40,109.49,116.03,123.11,130.85,139.25,148.30,158.01,168.26,179.03
Global,By Equipment Type,"Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)",167.88,177.86,188.31,199.30,211.00,223.70,237.72,253.10,269.67,287.35,306.15,326.10,347.12
Global,By Nut Type,Almond,Almond,305.22,322.87,341.80,362.26,384.56,409.15,436.25,465.99,497.96,531.99,567.70,604.90,643.78
Global,By Nut Type,Cashew,Cashew,98.71,106.79,115.61,125.29,135.91,147.63,160.59,174.88,190.52,207.64,226.32,246.56,268.41
Global,By Nut Type,Peanut,Peanut,"1,245.30","1,314.91","1,389.06","1,468.59","1,554.05","1,646.91","1,748.41","1,859.14","1,978.62","2,106.93","2,244.35","2,390.30","2,544.16"
Global,By Nut Type,Pistachio,Pistachio,148.68,159.19,170.64,182.93,195.94,209.89,225.00,241.75,260.32,280.55,302.52,325.96,350.80
Global,By Nut Type,Walnut,Walnut,326.04,343.95,363.23,383.73,405.25,427.78,451.94,478.15,506.70,537.75,570.81,605.40,641.53
Global,By Nut Type,Hazelnut,Hazelnut,155.81,163.60,171.93,180.77,190.09,200.08,210.91,222.73,235.52,249.16,263.60,278.71,294.47
Global,By Nut Type,Other Nuts,Other Nuts,312.06,332.58,354.50,378.03,403.39,431.03,461.42,494.67,530.61,569.34,610.75,654.84,701.64
Global,By Automation Level,Manual,Manual,200.36,217.84,237.05,258.10,281.14,306.56,334.77,366.19,400.94,439.12,480.76,525.93,574.85
Global,By Automation Level,Semi Automatic & Fully Automatic,Semi Automatic & Fully Automatic,"2,391.45","2,526.04","2,669.72","2,823.50","2,988.06","3,165.92","3,359.74","3,571.11","3,799.31","4,044.25","4,305.29","4,580.74","4,869.92"
Global,By End User,Primary Nut Processors,Primary Nut Processors,"1,254.96","1,322.45","1,394.37","1,471.25","1,558.06","1,643.96","1,742.84","1,851.36","1,968.81","2,094.67","2,228.61","2,369.92","2,518.33"
Global,By End User,Value Added Snack Manufacturers,Value Added Snack Manufacturers,612.95,654.34,698.98,747.36,799.53,856.23,918.07,985.34,"1,057.99","1,136.53","1,220.78","1,310.58","1,406.03"
Global,By End User,Ingredient Manufacturers,Ingredient Manufacturers,357.27,379.18,402.89,428.55,456.04,485.45,517.14,551.51,588.80,629.32,672.94,719.11,767.72
Global,By End User,Bakery and Confectionery Companies,Bakery and Confectionery Companies,252.46,264.90,278.21,292.30,307.04,322.65,339.41,357.65,377.44,398.62,421.06,444.45,468.71
Global,By End User,"Others (Dairy Alternative and Plant Based Food Producers, etc.)","Others (Dairy Alternative and Plant Based Food Producers, etc.)",109.81,118.44,127.76,137.77,148.52,160.25,173.20,187.59,203.47,220.75,239.53,259.76,281.48
North America,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,24.96,25.91,26.91,27.97,29.12,30.41,31.83,33.39,35.02,36.71,38.43,40.16,41.92
North America,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,61.95,65.55,69.39,73.54,78.06,83.09,88.67,94.80,101.36,108.31,115.56,123.08,130.93
North America,By Equipment Type,Storage Equipment,Silos,23.49,24.56,25.72,26.94,28.18,29.41,30.70,32.11,33.68,35.41,37.23,39.10,41.01
North America,By Equipment Type,Storage Equipment,Storage bins and hoppers,12.39,13.00,13.63,14.32,15.06,15.88,16.75,17.67,18.62,19.64,20.74,21.90,23.11
